"시스템키","체험마을명","시도명","시군구명","체험프로그램구분","체험프로그램명","보유시설정보","체험휴양마을면적","체험휴양마을사진","소재지도로명주소","대표자성명","대표전화번호","지정일자","홈페이지주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","제공기관명"
"1752","알토란사과마을","충청남도","예산군","농작물경작체험+건강+전통문화체험+자연생태체험","돼지불고기+사과쨈+사과피자만들기+죽순요리+죽순따기+잔디마당삼겹살파티+시골밥상+사과풍선만들기+사과브리또+미나리요리+사과깍두기+사과따기체험+사과돌나물무침","","","","충청남도 예산군 응봉면 운곡길 81","이정신","","2017-10-24","","충청남도 예산군청","36.65219938","126.779123","2025-01-07","B552149","한국농어촌공사"
"1772","태안별주부마을","충청남도","태안군","농작물경작체험+자연생태체험+만들기체험+전통문화체험","갯벌체험(맛조개잡이)+황토호박고구마캐기+독살체험+방향제만들기+별주부자라빵만들기+취나물채취하기+취나물인절미떡메치기체험+꽃게그물털기체험","","","","충청남도 태안군 남면 별주부길 102","최진우","041-672-3359","2017-10-24","","충청남도 태안군청","36.63273093","126.3035327","2025-01-07","B552149","한국농어촌공사"
"1778","토정마을","충청남도","보령시","기타","눈꽃송이만들기+표고피자만들기+표고버섯체험+쑥개떡만들기+숲체험+숙박(캠핑)+떡메치기+박쥐동굴체험+뻥튀기+숙박(시설물임대)+석고부조색칠하기+눈썰매장","","","","충청남도 보령시 청라면 윗장골길 113","이석태","041-935-3033","2017-10-24","","충청남도 보령시청","36.40209883","126.655503","2025-01-07","B552149","한국농어촌공사"
"1793","친환경까치마을","충청남도","부여군","농작물경작체험+만들기체험+기타","농촌에서한달살기+토종곡물쿠키만들기+현미빵만들기+전통놀이체험+딸기체험+삼색캔들만들기체험+양봉체험+시골밥상체험","","","","충청남도 부여군 초촌면 진호로 2","정화숙","","2017-10-24","","충청남도 부여군청","36.2755734","127.0483609","2025-01-07","B552149","한국농어촌공사"
"1794","칠갑뜨락농촌체험휴양마을","충청남도","청양군","건강+기타","마을걷기여행+치유농업+칠갑호걷기축제+칠갑호둘레길건강걷기체험","","","","충청남도 청양군 대치면 판동길 260","최동원","","2020-10-26","","충청남도 청양군청","36.42378878","126.8686086","2025-01-07","B552149","한국농어촌공사"
"1795","칠갑사니마을","충청남도","청양군","기타","강의실+낚시대+바늘+먹이+수상자전거인승+승마체험(평일)+카약(베스낚시)인승+오리배인승+승마체험(주말)+모터보트인승+고래배인승+거위+잉어+말먹이","","","","충청남도 청양군 대치면 판동길 260","최원영","","2017-10-24","","충청남도 청양군청","36.42378878","126.8686086","2025-01-07","B552149","한국농어촌공사"
"1796","칠갑산산꽃마을","충청남도","청양군","농작물경작체험+기타+건강+만들기체험","김장체험+족욕체험+연잎밥만들기+우렁이잡기+야생화심기체험+압화부채만들기+연필꽂이만들기+알밤줍기체험+알밤줍기+시골밥상체험+수세미만들기체험+꽃차체험(기호음료)+도마인두화체험+매듭인형+새끼꼬기및계란꾸러미만들기+매실청만들기+꽃사탕만들기","","","","충청남도 청양군 대치면 까치내로 1063-1","조만홍","","2017-10-24","","충청남도 청양군청","36.40945277","126.8359558","2025-01-07","B552149","한국농어촌공사"
"1811","초록꿈틀마을","충청남도","서산시","기타+만들기체험","강의+떡도장절편만들기+라이스진저미니버거만들기+쌀겨비누만들기+힐링요가체험+특산물+자연생태체험+자연물드림캐쳐만들기+음식만들기체험+쌀돌공예+쌀그림그리기+쌀강정만들기+떡메치기+두부만들기+농사체험+도농교류센터+된장담그기","","","","충청남도 서산시 음암면 두치로 366-1","조영미","041-668-9900","2017-10-24","","충청남도 서산시청","36.81946125","126.4878517","2025-01-07","B552149","한국농어촌공사"
"1822","천탑마을","충청남도","공주시","농작물경작체험+전통문화체험+건강+만들기체험","단순방문객+편백나무숲해먹타고하늘보기+편백나무숲오수체험+편백나무숲명상체험+토종물고기관찰체험+짚플공예체험+뗏목타기체험+맷돌커피(홍보부스체험)+숲속바베큐체험+옥수수따먹고계곡에서힐링+알밤줍기+돌탑쌓기체험","","","","충청남도 공주시 사곡면 부곡산성로 139","주규용","041-841-6521","2017-10-24","","충청남도 공주시청","36.5899606","127.0195112","2025-01-07","B552149","한국농어촌공사"
"1836","진산애행복누리마을","충청남도","금산군","농작물경작체험+전통문화체험+만들기체험","두부만들기체험+아로니아체험+향초만들기체험+역사탐방+스포츠프로그램+딸기체험+문화탐방+바리스타체험+민속놀이체험","","","","충청남도 금산군 진산면 대둔산로 322","이지안","","2018-11-26","","충청남도 금산군청","36.13957504","127.3645814","2025-01-07","B552149","한국농어촌공사"
